"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10397148"	"1.05e-01"	"1.60e-04"	"-5.3905723"	"1.14008"	"-0.62316915"	"Acot1"	"acyl-CoA thioesterase 1"
"10567134"	"1.05e-01"	"1.62e-04"	"-5.3842613"	"1.13112"	"-0.59252825"	"Plekha7"	"pleckstrin homology domain containing, family A member 7"
"10437432"	"1.07e-01"	"1.68e-04"	"-5.3596665"	"1.09614"	"-0.57781357"	"Nmral1"	"NmrA-like family domain containing 1"
"10400095"	"1.13e-01"	"1.83e-04"	"-5.3077916"	"1.02202"	"-0.49966578"	"Ifrd1"	"interferon-related developmental regulator 1"
"10440993"	"1.13e-01"	"1.90e-04"	"-5.2857277"	"0.99035"	"-0.51051355"	"Rcan1"	"regulator of calcineurin 1"
"10483157"	"1.13e-01"	"1.91e-04"	"-5.2822465"	"0.98535"	"-0.45565708"	""	""
"10587778"	"1.13e-01"	"1.94e-04"	"5.2716666"	"0.97013"	"0.57162008"	""	""
"10586781"	"1.13e-01"	"2.00e-04"	"-5.2556284"	"0.94702"	"-0.85997202"	"Myo1e"	"myosin IE"
"10505356"	"1.13e-01"	"2.02e-04"	"-5.2497217"	"0.9385"	"-0.6841074"	"Zfp618"	"zinc finger protein 618"
"10590549"	"1.13e-01"	"2.05e-04"	"-5.2388514"	"0.9228"	"-0.41463099"	"Exosc7"	"exosome component 7"
"10598055"	"1.13e-01"	"2.09e-04"	"-5.2289628"	"0.9085"	"-0.78705726"	"ND3"	"NADH dehydrogenase subunit 3"
"10588243"	"1.13e-01"	"2.15e-04"	"5.2111767"	"0.88274"	"0.47413331"	"Ryk"	"receptor-like tyrosine kinase"
"10577429"	"1.13e-01"	"2.15e-04"	"-5.2100716"	"0.88114"	"-0.74357619"	"Defa30///Gm7861///Gm7849///Gm14851///Defa23///AY761184///Defa4///Defa29"	"defensin, alpha, 30///predicted gene 7861///predicted gene 7849///predicted gene 14851///defensin, alpha, 23///cDNA sequence AY761184///defensin, alpha, 4///defensin, alpha, 29"
"10342886"	"1.13e-01"	"2.19e-04"	"-5.1993242"	"0.86555"	"-0.70747872"	""	""
"10409684"	"1.13e-01"	"2.19e-04"	"-5.1979704"	"0.86358"	"-0.65408752"	"2210016F16Rik"	"RIKEN cDNA 2210016F16 gene"
"10445067"	"1.13e-01"	"2.22e-04"	"-5.1902454"	"0.85236"	"-0.84587332"	"Znrd1as"	"zinc ribbon domain containing 1, antisense"
"10509071"	"1.13e-01"	"2.22e-04"	"-5.190078"	"0.85211"	"-0.59557081"	"Il22ra1"	"interleukin 22 receptor, alpha 1"
"10342868"	"1.13e-01"	"2.27e-04"	"-5.1764707"	"0.83232"	"-1.78825093"	""	""
"10447557"	"1.13e-01"	"2.30e-04"	"-5.1706346"	"0.82382"	"-0.60913581"	"Ldhal6b"	"lactate dehydrogenase A-like 6B"
"10534935"	"1.14e-01"	"2.34e-04"	"-5.1590331"	"0.80691"	"-0.49018251"	"Pilrb1"	"paired immunoglobin-like type 2 receptor beta 1"
"10491091"	"1.16e-01"	"2.41e-04"	"-5.1417666"	"0.7817"	"-0.6041138"	"Tnfsf10"	"tumor necrosis factor (ligand) superfamily, member 10"
"10458382"	"1.16e-01"	"2.44e-04"	"-5.133261"	"0.76926"	"-0.78185137"	"Cd14"	"CD14 antigen"
"10562731"	"1.17e-01"	"2.52e-04"	"-5.1139168"	"0.74093"	"-0.83059566"	"Gm10109"	"predicted gene 10109"
"10415784"	"1.17e-01"	"2.60e-04"	"-5.0957993"	"0.71433"	"-0.86599467"	"Trim13"	"tripartite motif-containing 13"
"10343079"	"1.17e-01"	"2.67e-04"	"-5.0803527"	"0.69162"	"-1.25234475"	""	""
"10572130"	"1.17e-01"	"2.67e-04"	"-5.0797588"	"0.69074"	"-1.41945046"	"Lpl"	"lipoprotein lipase"
"10342698"	"1.17e-01"	"2.70e-04"	"-5.0731071"	"0.68095"	"-1.0196502"	""	""
"10520452"	"1.17e-01"	"2.73e-04"	"-5.0674146"	"0.67256"	"-1.20568486"	"Il6"	"interleukin 6"
"10531193"	"1.17e-01"	"2.80e-04"	"-5.0513703"	"0.64888"	"-0.42283515"	"Adamts3"	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3"
"10590563"	"1.17e-01"	"2.81e-04"	"-5.0500777"	"0.64697"	"-0.66784669"	"Lars2"	"leucyl-tRNA synthetase, mitochondrial"
"10567355"	"1.17e-01"	"2.82e-04"	"-5.0480028"	"0.64391"	"-0.99844675"	"Gprc5b"	"G protein-coupled receptor, family C, group 5, member B"
"10439312"	"1.17e-01"	"2.82e-04"	"-5.0461596"	"0.64118"	"-0.45016037"	"Cd86"	"CD86 antigen"
"10458894"	"1.17e-01"	"2.90e-04"	"-5.0311088"	"0.61892"	"-1.41659588"	"Lox"	"lysyl oxidase"
"10360306"	"1.17e-01"	"2.90e-04"	"-5.030009"	"0.6173"	"-1.32026824"	"Slamf8"	"SLAM family member 8"
"10391490"	"1.17e-01"	"2.91e-04"	"-5.0281413"	"0.61453"	"-0.42742031"	"Etv4"	"ets variant 4"
"10345065"	"1.17e-01"	"2.94e-04"	"-5.0225237"	"0.60621"	"-0.58794852"	"Gsta3"	"glutathione S-transferase, alpha 3"
"10491897"	"1.22e-01"	"3.09e-04"	"-4.9935959"	"0.56328"	"-0.53863265"	""	""
"10557895"	"1.22e-01"	"3.11e-04"	"-4.9885741"	"0.55581"	"-1.07310726"	"Itgax"	"integrin alpha X"
"10545974"	"1.26e-01"	"3.32e-04"	"-4.9495325"	"0.49762"	"-0.95770607"	"Antxr1"	"anthrax toxin receptor 1"
"10360648"	"1.26e-01"	"3.33e-04"	"-4.9484135"	"0.49594"	"-0.55900012"	"Psen2"	"presenilin 2"
"10603087"	"1.26e-01"	"3.35e-04"	"-4.9446987"	"0.49039"	"-0.69988421"	"Pir"	"pirin"
"10353989"	"1.26e-01"	"3.37e-04"	"-4.9414707"	"0.48557"	"-0.55193671"	""	""
"10517173"	"1.27e-01"	"3.42e-04"	"4.9315906"	"0.47079"	"0.50874308"	"Cep85"	"centrosomal protein 85"
"10545210"	"1.27e-01"	"3.53e-04"	"-4.9132378"	"0.44329"	"-0.85361136"	"Igkv4-55"	"immunoglobulin kappa variable 4-55"
"10558919"	"1.27e-01"	"3.56e-04"	"4.9088786"	"0.43675"	"0.89209733"	"Snora52"	"small nucleolar RNA, H/ACA box 52"
"10505030"	"1.27e-01"	"3.62e-04"	"-4.8991527"	"0.42215"	"-0.49316953"	"Fsd1l"	"fibronectin type III and SPRY domain containing 1-like"
"10565315"	"1.27e-01"	"3.62e-04"	"-4.8989354"	"0.42182"	"-1.13683121"	"Fah"	"fumarylacetoacetate hydrolase"
"10385832"	"1.27e-01"	"3.63e-04"	"-4.8968861"	"0.41874"	"-0.51132445"	"Il4"	"interleukin 4"
"10375811"	"1.27e-01"	"3.67e-04"	"4.8909383"	"0.4098"	"0.511487"	""	""
"10533844"	"1.27e-01"	"3.68e-04"	"-4.8890632"	"0.40698"	"-0.47106696"	"Rilpl2"	"Rab interacting lysosomal protein-like 2"
"10346914"	"1.27e-01"	"3.70e-04"	"-4.8854037"	"0.40148"	"-0.53318233"	"Fastkd2"	"FAST kinase domains 2"
"10490989"	"1.27e-01"	"3.75e-04"	"-4.8773637"	"0.38938"	"-0.6522659"	"Cp"	"ceruloplasmin"
"10544596"	"1.27e-01"	"3.79e-04"	"-4.8710421"	"0.37986"	"-0.60540981"	"Tmem176b"	"transmembrane protein 176B"
"10344580"	"1.29e-01"	"3.89e-04"	"-4.8571153"	"0.35886"	"-1.09566734"	""	""
"10541184"	"1.31e-01"	"3.99e-04"	"-4.8415729"	"0.33538"	"-0.58443263"	""	""
"10544687"	"1.32e-01"	"4.05e-04"	"-4.8323033"	"0.32136"	"-0.94739093"	"Cycs"	"cytochrome c, somatic"
"10545958"	"1.38e-01"	"4.26e-04"	"-4.8024237"	"0.27608"	"-0.9080416"	"Anxa4"	"annexin A4"
"10497276"	"1.38e-01"	"4.36e-04"	"-4.7898405"	"0.25697"	"-0.52463109"	"Fabp12"	"fatty acid binding protein 12"
"10566409"	"1.38e-01"	"4.39e-04"	"-4.7849299"	"0.2495"	"-0.4807738"	"Olfr670"	"olfactory receptor 670"
"10395142"	"1.38e-01"	"4.52e-04"	"-4.7687895"	"0.22494"	"-0.47611639"	"Sh3yl1"	"Sh3 domain YSC-like 1"
"10343366"	"1.38e-01"	"4.52e-04"	"-4.7683122"	"0.22421"	"-1.16799454"	""	""
"10377982"	"1.38e-01"	"4.52e-04"	"-4.767822"	"0.22346"	"-0.82191145"	"Kif1c"	"kinesin family member 1C"
"10543409"	"1.38e-01"	"4.53e-04"	"4.7666675"	"0.22171"	"0.50670012"	"Tas2r118"	"taste receptor, type 2, member 118"
"10450189"	"1.38e-01"	"4.56e-04"	"-4.7636668"	"0.21713"	"-0.54577276"	"Btnl5-ps"	"butyrophilin-like 5, pseudogene"
"10457587"	"1.39e-01"	"4.60e-04"	"-4.7575424"	"0.2078"	"-0.50733765"	"Zfp521"	"zinc finger protein 521"
"10341499"	"1.40e-01"	"4.71e-04"	"4.7447512"	"0.18828"	"1.0741204"	""	""
"10572251"	"1.40e-01"	"4.74e-04"	"-4.7410388"	"0.1826"	"-0.51563226"	"Tssk6"	"testis-specific serine kinase 6"
"10567504"	"1.40e-01"	"4.78e-04"	"-4.7355354"	"0.17419"	"-0.41302757"	""	""
"10365987"	"1.40e-01"	"4.79e-04"	"-4.7347595"	"0.17301"	"-0.46909783"	"Kera"	"keratocan"
"10562251"	"1.40e-01"	"4.83e-04"	"-4.7290683"	"0.16431"	"-0.47189328"	"Scn1b"	"sodium channel, voltage-gated, type I, beta"
"10339474"	"1.42e-01"	"5.01e-04"	"-4.7087601"	"0.13321"	"-0.78249322"	""	""
"10413152"	"1.42e-01"	"5.02e-04"	"-4.7076589"	"0.13152"	"-0.81915251"	"1700112E06Rik"	"RIKEN cDNA 1700112E06 gene"
"10483000"	"1.42e-01"	"5.04e-04"	"-4.7053255"	"0.12794"	"-0.47425122"	"Itgb6"	"integrin beta 6"
"10544891"	"1.45e-01"	"5.19e-04"	"-4.6882345"	"0.10171"	"-0.62804252"	"Nod1"	"nucleotide-binding oligomerization domain containing 1"
"10536334"	"1.47e-01"	"5.28e-04"	"-4.6780214"	"0.08602"	"-0.51614623"	"Dync1i1"	"dynein cytoplasmic 1 intermediate chain 1"
"10426370"	"1.47e-01"	"5.42e-04"	"-4.662979"	"0.06287"	"-0.45831303"	"Smgc"	"submandibular gland protein C"
"10343171"	"1.47e-01"	"5.44e-04"	"4.66064"	"0.05927"	"0.97525401"	""	""
"10541186"	"1.47e-01"	"5.47e-04"	"-4.6575084"	"0.05444"	"-0.47718051"	"3110021A11Rik"	"RIKEN cDNA 3110021A11 gene"
"10405743"	"1.47e-01"	"5.49e-04"	"-4.6550464"	"0.05065"	"-0.44866559"	"Mir713"	"microRNA 713"
"10516024"	"1.47e-01"	"5.50e-04"	"-4.6545842"	"0.04994"	"-0.49031045"	"Tmco2"	"transmembrane and coiled-coil domains 2"
"10364346"	"1.47e-01"	"5.63e-04"	"-4.6409266"	"0.02887"	"-0.51610124"	"Dnmt3l"	"DNA (cytosine-5-)-methyltransferase 3-like"
"10453057"	"1.47e-01"	"5.64e-04"	"-4.6400346"	"0.02749"	"-0.77504496"	"Cyp1b1"	"cytochrome P450, family 1, subfamily b, polypeptide 1"
"10389231"	"1.47e-01"	"5.69e-04"	"-4.6348368"	"0.01947"	"-0.52038312"	"Ccl3"	"chemokine (C-C motif) ligand 3"
"10532019"	"1.47e-01"	"5.72e-04"	"-4.6319558"	"0.01502"	"-0.78515541"	"Gbp11"	"guanylate binding protein 11"
"10544906"	"1.47e-01"	"5.72e-04"	"-4.6317147"	"0.01465"	"-0.51553206"	"Ggct"	"gamma-glutamyl cyclotransferase"
"10423548"	"1.47e-01"	"5.76e-04"	"4.6277232"	"0.00848"	"0.77779493"	"Sdc2"	"syndecan 2"
"10338231"	"1.48e-01"	"5.86e-04"	"-4.6177847"	"-0.00689"	"-0.42481938"	""	""
"10542791"	"1.48e-01"	"5.92e-04"	"-4.6116474"	"-0.01639"	"-0.53936264"	"Ppfibp1"	"PTPRF interacting protein, binding protein 1 (liprin beta 1)"
"10470322"	"1.48e-01"	"5.95e-04"	"-4.6089444"	"-0.02057"	"-0.37040723"	"Surf2"	"surfeit gene 2"
"10484987"	"1.48e-01"	"5.95e-04"	"-4.6087957"	"-0.0208"	"-0.55608952"	"Nr1h3"	"nuclear receptor subfamily 1, group H, member 3"
"10519886"	"1.51e-01"	"6.20e-04"	"-4.5849056"	"-0.05784"	"-0.54194582"	"Sema3c"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
"10350733"	"1.51e-01"	"6.20e-04"	"-4.584629"	"-0.05827"	"-0.52177082"	"Rgs16"	"regulator of G-protein signaling 16"
"10535043"	"1.51e-01"	"6.26e-04"	"-4.5798052"	"-0.06576"	"-0.50642142"	"Pdgfa"	"platelet derived growth factor, alpha"
"10577025"	"1.51e-01"	"6.26e-04"	"-4.5792718"	"-0.06659"	"-0.47447617"	"Rab20"	"RAB20, member RAS oncogene family"
"10494160"	"1.51e-01"	"6.31e-04"	"-4.5749428"	"-0.07331"	"-0.49580575"	"Tmod4"	"tropomodulin 4"
"10591739"	"1.51e-01"	"6.31e-04"	"-4.5743819"	"-0.07418"	"-0.5182277"	"Acp5"	"acid phosphatase 5, tartrate resistant"
"10554198"	"1.51e-01"	"6.38e-04"	"-4.5683006"	"-0.08363"	"-0.54785666"	"Klhl25"	"kelch-like 25"
"10573924"	"1.52e-01"	"6.47e-04"	"-4.5603932"	"-0.09593"	"-0.74387205"	"Mmp2"	"matrix metallopeptidase 2"
"10343068"	"1.52e-01"	"6.50e-04"	"-4.5575501"	"-0.10035"	"-1.3053366"	""	""
"10342793"	"1.53e-01"	"6.57e-04"	"-4.5512176"	"-0.11021"	"-1.07764602"	""	""
"10344415"	"1.53e-01"	"6.68e-04"	"-4.5420165"	"-0.12455"	"-0.62986398"	""	""
"10343031"	"1.53e-01"	"6.69e-04"	"-4.5414493"	"-0.12543"	"-1.36077632"	""	""
"10352104"	"1.53e-01"	"6.75e-04"	"-4.536109"	"-0.13376"	"-0.79386695"	"Gm16432"	"predicted gene 16432"
"10511779"	"1.53e-01"	"6.76e-04"	"-4.535064"	"-0.13539"	"-0.99372114"	"Atp6v0d2"	"ATPase, H+ transporting, lysosomal V0 subunit D2"
"10545220"	"1.53e-01"	"6.84e-04"	"4.5285914"	"-0.14549"	"0.51788094"	""	""
"10373695"	"1.53e-01"	"6.86e-04"	"-4.5269152"	"-0.1481"	"-0.55350443"	"Iltifb///Il22"	"interleukin 10-related T cell-derived inducible factor beta///interleukin 22"
"10532524"	"1.61e-01"	"7.27e-04"	"-4.49384"	"-0.19981"	"-0.49648319"	"Srrd"	"SRR1 domain containing"
"10601844"	"1.61e-01"	"7.29e-04"	"-4.4916979"	"-0.20317"	"-0.44830176"	"Bhlhb9"	"basic helix-loop-helix domain containing, class B9"
"10479379"	"1.67e-01"	"7.65e-04"	"-4.4643027"	"-0.24613"	"-0.39685105"	"Slco4a1"	"solute carrier organic anion transporter family, member 4a1"
"10526546"	"1.67e-01"	"7.70e-04"	"-4.4608649"	"-0.25153"	"-0.35601539"	""	""
"10537807"	"1.67e-01"	"7.70e-04"	"-4.4606039"	"-0.25194"	"-0.37451749"	"Olfr446"	"olfactory receptor 446"
"10542738"	"1.67e-01"	"7.74e-04"	"-4.4579208"	"-0.25615"	"-0.51095245"	"Rassf8"	"Ras association (RalGDS/AF-6) domain family (N-terminal) member 8"
"10338915"	"1.68e-01"	"7.95e-04"	"4.4425123"	"-0.28038"	"0.710688"	""	""
"10420672"	"1.68e-01"	"7.95e-04"	"-4.442054"	"-0.2811"	"-0.71461159"	"Dleu7"	"deleted in lymphocytic leukemia, 7"
"10549679"	"1.68e-01"	"8.02e-04"	"-4.4377515"	"-0.28787"	"-0.37986277"	"Brsk1"	"BR serine/threonine kinase 1"
"10501762"	"1.68e-01"	"8.05e-04"	"-4.4354878"	"-0.29143"	"-0.52421876"	"Snx7"	"sorting nexin 7"
"10474671"	"1.68e-01"	"8.06e-04"	"-4.4348337"	"-0.29246"	"-0.61138136"	"Spred1"	"sprouty protein with EVH-1 domain 1, related sequence"
"10608710"	"1.71e-01"	"8.22e-04"	"-4.4234401"	"-0.31041"	"-0.55064194"	""	""
"10572800"	"1.72e-01"	"8.33e-04"	"-4.4155121"	"-0.32291"	"-0.39226812"	"Klf2"	"Kruppel-like factor 2 (lung)"
"10502196"	"1.73e-01"	"8.41e-04"	"4.4102028"	"-0.33129"	"0.45327233"	"Rpl34"	"ribosomal protein L34"
"10420302"	"1.73e-01"	"8.50e-04"	"-4.4043543"	"-0.34052"	"-1.32009839"	"Gzmc"	"granzyme C"
"10532180"	"1.73e-01"	"8.60e-04"	"-4.397958"	"-0.35062"	"-0.44031192"	"Cplx1"	"complexin 1"
"10447056"	"1.73e-01"	"8.61e-04"	"-4.3967392"	"-0.35255"	"-1.24168016"	"Qpct"	"glutaminyl-peptide cyclotransferase (glutaminyl cyclase)"
"10489566"	"1.73e-01"	"8.62e-04"	"-4.3960746"	"-0.3536"	"-0.4392702"	"Neurl2"	"neuralized E3 ubiquitin protein ligase 2"
"10591658"	"1.73e-01"	"8.65e-04"	"4.3943864"	"-0.35627"	"0.82005931"	"LOC100049077"	"uncharacterized LOC100049077"
"10340301"	"1.74e-01"	"8.76e-04"	"4.3869185"	"-0.36807"	"0.94104032"	""	""
"10554693"	"1.75e-01"	"8.92e-04"	"-4.3771315"	"-0.38356"	"-0.47893913"	"Stard5///Stard5"	"StAR-related lipid transfer (START) domain containing 5///StAR-related lipid transfer (START) domain containing 5"
"10434758"	"1.75e-01"	"8.98e-04"	"-4.372943"	"-0.39019"	"-0.53911654"	"St6gal1"	"beta galactoside alpha 2,6 sialyltransferase 1"
"10488020"	"1.75e-01"	"9.05e-04"	"4.368568"	"-0.39712"	"0.63136269"	"Tmx4"	"thioredoxin-related transmembrane protein 4"
"10391942"	"1.75e-01"	"9.05e-04"	"-4.3683951"	"-0.39739"	"-0.47416077"	"Lyzl6"	"lysozyme-like 6"
"10596303"	"1.75e-01"	"9.06e-04"	"-4.3678205"	"-0.3983"	"-1.24626205"	"Acpp"	"acid phosphatase, prostate"
"10340390"	"1.75e-01"	"9.12e-04"	"4.3644107"	"-0.4037"	"0.90678265"	""	""
"10585545"	"1.75e-01"	"9.23e-04"	"-4.3575583"	"-0.41457"	"-0.60964114"	"Rcn2"	"reticulocalbin 2"
